dataset,encoder,representation,n_way,k_shot,seed,q_query_train,q_query_test,episodes_train,episodes_eval,epochs,best_epoch,accuracy_mean,ci95,eval_loss,train_samples,test_samples,classes,checkpoint
thai_fingerspelling,mlp,raw_angle,5,5,1337,5,5,600,600,5,5,0.870467,0.007939,0.379800,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_5shot.pt
asl_alphabet,transformer,raw,5,1,1337,5,5,600,600,5,5,0.964200,0.005248,0.090026,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_1shot.pt
asl_alphabet,transformer,raw,5,3,1337,5,5,600,600,5,5,0.983467,0.002992,0.049923,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_3shot.pt
asl_alphabet,transformer,raw,5,5,1337,5,5,600,600,5,5,0.985333,0.002963,0.039791,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_5shot.pt
arabic_sign_alphabet,transformer,raw,5,1,1337,5,5,600,600,5,5,0.933733,0.006825,0.182899,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_1shot.pt
arabic_sign_alphabet,transformer,raw,5,3,1337,5,5,600,600,5,5,0.965333,0.004268,0.102934,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_3shot.pt
arabic_sign_alphabet,transformer,raw,5,5,1337,5,5,600,600,5,5,0.969533,0.003986,0.087518,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_5shot.pt
libras_alphabet,transformer,raw,5,1,1337,5,5,600,600,5,5,0.979267,0.004261,0.049601,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_1shot.pt
libras_alphabet,transformer,raw,5,3,1337,5,5,600,600,5,5,0.984667,0.003923,0.032851,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_3shot.pt
libras_alphabet,transformer,raw,5,5,1337,5,5,600,600,5,5,0.985200,0.003543,0.032068,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_5shot.pt
thai_fingerspelling,transformer,raw,5,1,1337,5,5,600,600,5,5,0.718600,0.012589,0.801105,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_1shot.pt
thai_fingerspelling,transformer,raw,5,3,1337,5,5,600,600,5,5,0.812667,0.009973,0.521642,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_3shot.pt
thai_fingerspelling,transformer,raw,5,5,1337,5,5,600,600,5,5,0.826067,0.009262,0.476490,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_5shot.pt
asl_alphabet,transformer,angle,5,1,1337,5,5,600,600,5,5,0.949867,0.006006,0.130167,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_angle_1shot.pt
asl_alphabet,transformer,angle,5,3,1337,5,5,600,600,5,5,0.965333,0.004696,0.087624,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_angle_3shot.pt
asl_alphabet,transformer,angle,5,5,1337,5,5,600,600,5,5,0.975467,0.003386,0.072398,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_angle_5shot.pt
arabic_sign_alphabet,transformer,angle,5,1,1337,5,5,600,600,5,5,0.924867,0.007335,0.215737,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_angle_1shot.pt
arabic_sign_alphabet,transformer,angle,5,3,1337,5,5,600,600,5,5,0.960400,0.004801,0.117858,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_angle_3shot.pt
arabic_sign_alphabet,transformer,angle,5,5,1337,5,5,600,600,5,5,0.963400,0.004382,0.106969,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_angle_5shot.pt
